# Enquête Besoins en Main-d'Œuvre 2026 (France Travail), agrégée par département × famille de métiers FAP.
# Source : Base-open-data-BMO-2026.xlsx (francetravail.org, open data), lue le 28/08/2026 ; somme des bassins d'emploi.
# projets = projets de recrutement déclarés ; difficiles = jugés difficiles ; saisonniers = liés à une activité saisonnière.
# Les cellules secrétisées (« * ») de la source sont ignorées : les totaux sont des minorants.
dept;famille;libelle;projets;difficiles;saisonniers
01;A;Fonctions administratives;469;159;52
01;C;Fonctions d'encadrement;817;397;181
01;I;Ouvriers des secteurs de l'industrie;2267;1339;382
01;O;Ouvriers de la construction et du bâtiment;1053;701;110
01;S;Fonctions sociales et médico-sociales;2193;1640;713
01;T;Autres techniciens et employés;377;231;25
01;V;Fonctions liées à la vente, au tourisme et aux services;4050;1813;1140
01;Z;Autres métiers;1664;1141;711
02;A;Fonctions administratives;424;121;44
02;C;Fonctions d'encadrement;521;195;96
02;I;Ouvriers des secteurs de l'industrie;1489;813;498
02;O;Ouvriers de la construction et du bâtiment;442;260;38
02;S;Fonctions sociales et médico-sociales;1294;498;433
02;T;Autres techniciens et employés;194;118;18
02;V;Fonctions liées à la vente, au tourisme et aux services;3591;1210;853
02;Z;Autres métiers;5133;1709;3775
03;A;Fonctions administratives;218;80;41
03;C;Fonctions d'encadrement;566;245;248
03;I;Ouvriers des secteurs de l'industrie;931;472;152
03;O;Ouvriers de la construction et du bâtiment;511;368;61
03;S;Fonctions sociales et médico-sociales;760;482;166
03;T;Autres techniciens et employés;142;57;0
03;V;Fonctions liées à la vente, au tourisme et aux services;3280;1386;1030
03;Z;Autres métiers;961;512;443
04;A;Fonctions administratives;339;118;236
04;C;Fonctions d'encadrement;410;103;132
04;I;Ouvriers des secteurs de l'industrie;480;224;180
04;O;Ouvriers de la construction et du bâtiment;406;150;59
04;S;Fonctions sociales et médico-sociales;1022;541;519
04;T;Autres techniciens et employés;58;26;0
04;V;Fonctions liées à la vente, au tourisme et aux services;3742;1440;2448
04;Z;Autres métiers;1969;456;1633
05;A;Fonctions administratives;420;144;258
05;C;Fonctions d'encadrement;533;253;389
05;I;Ouvriers des secteurs de l'industrie;523;264;158
05;O;Ouvriers de la construction et du bâtiment;854;325;179
05;S;Fonctions sociales et médico-sociales;1069;706;642
05;T;Autres techniciens et employés;35;14;0
05;V;Fonctions liées à la vente, au tourisme et aux services;4299;1456;3365
05;Z;Autres métiers;1491;463;1165
06;A;Fonctions administratives;2329;686;548
06;C;Fonctions d'encadrement;4742;1661;527
06;I;Ouvriers des secteurs de l'industrie;2534;1022;773
06;O;Ouvriers de la construction et du bâtiment;2243;1126;160
06;S;Fonctions sociales et médico-sociales;5462;2668;1350
06;T;Autres techniciens et employés;487;287;0
06;V;Fonctions liées à la vente, au tourisme et aux services;27391;10965;14215
06;Z;Autres métiers;4287;1640;2238
07;A;Fonctions administratives;227;27;96
07;C;Fonctions d'encadrement;561;184;224
07;I;Ouvriers des secteurs de l'industrie;895;467;317
07;O;Ouvriers de la construction et du bâtiment;440;281;16
07;S;Fonctions sociales et médico-sociales;1326;808;639
07;T;Autres techniciens et employés;103;83;0
07;V;Fonctions liées à la vente, au tourisme et aux services;3966;1515;2529
07;Z;Autres métiers;2586;1131;2136
08;A;Fonctions administratives;170;39;50
08;C;Fonctions d'encadrement;139;81;6
08;I;Ouvriers des secteurs de l'industrie;791;322;133
08;O;Ouvriers de la construction et du bâtiment;391;248;44
08;S;Fonctions sociales et médico-sociales;737;395;264
08;T;Autres techniciens et employés;69;23;9
