# Saisonnalité de la demande de main-d'œuvre par section NAF (lettre) et mois.
# Facteur autour de 1 : 1,2 = mois de pointe, 0,8 = mois creux. Entre dans Tempo, borné.
# APPROXIMATION : calendrier métier posé à la main (récoltes et vendanges en agriculture,
#   pointe de printemps-automne et trêves d'hiver et d'août dans le bâtiment, pic de fin
#   d'année en logistique et commerce, saison estivale en hôtellerie-restauration).
#   À remplacer par la saisonnalité mesurée sur les missions publiées (couverture) dès que
#   l'historique quotidien le permet.
# Format : section;jan;fev;mar;avr;mai;jun;jul;aou;sep;oct;nov;dec
section;jan;fev;mar;avr;mai;jun;jul;aou;sep;oct;nov;dec
A;0.8;0.8;0.9;1.0;1.1;1.2;1.2;1.2;1.3;1.2;0.9;0.8
B;1.0;1.0;1.05;1.05;1.05;1.05;1.0;0.85;1.1;1.05;1.0;0.95
C;1.0;1.0;1.05;1.05;1.05;1.05;1.0;0.85;1.1;1.05;1.0;0.95
D;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.95;1.0;1.0;1.0;1.0
E;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
F;0.85;0.9;1.05;1.1;1.1;1.15;1.1;0.9;1.15;1.1;1.0;0.85
G;1.05;0.95;0.95;1.0;1.0;1.0;1.05;0.95;1.0;1.0;1.2;1.25
H;0.9;0.9;1.0;1.0;1.0;1.0;1.0;1.0;1.05;1.1;1.25;1.2
I;0.8;0.85;0.9;1.0;1.1;1.15;1.3;1.3;1.05;0.95;0.85;1.15
J;1.0;1.0;1.0;1.0;1.0;1.0;0.95;0.9;1.05;1.0;1.0;1.0
K;1.0;1.0;1.0;1.0;1.0;1.0;0.95;0.9;1.05;1.0;1.0;1.0
L;1.0;1.0;1.0;1.0;1.0;1.0;0.95;0.9;1.05;1.0;1.0;1.0
M;1.0;1.0;1.0;1.0;1.0;1.0;0.95;0.9;1.05;1.0;1.0;1.0
N;1.0;1.0;1.0;1.0;1.0;1.0;1.05;1.05;1.05;1.0;1.0;1.0
O;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.95;1.0;1.0;1.0;1.0
P;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.8;1.2;1.0;1.0;1.0
Q;1.0;1.0;1.0;1.0;1.0;1.0;1.05;1.1;1.0;1.0;1.0;1.05
R;1.0;1.0;1.0;1.05;1.05;1.1;1.15;1.15;1.0;1.0;1.0;1.1
S;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.95;1.0;1.0;1.0;1.0
DEFAULT;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
